,Unnamed: 0,stimulus,repeat,fish,date,stimulus_direction,tail_beat
1791,1791,s16,3,2,20201125,forward,58
1792,1792,s16,3,2,20201126,forward,0
1793,1793,s16,3,2,20201211,forward,0
1808,1808,s17,1,1,20201125,forward,0
1809,1809,s17,1,1,20201126,forward,11
1810,1810,s17,1,1,20201210,forward,0
1811,1811,s17,1,1,20201211,forward,70
1828,1828,s17,1,2,20201120,forward,20
1829,1829,s17,1,2,20201126,forward,0
1830,1830,s17,1,2,20201211,forward,0
1845,1845,s17,2,1,20201125,forward,0
1846,1846,s17,2,1,20201126,forward,0
1847,1847,s17,2,1,20201210,forward,0
1848,1848,s17,2,1,20201211,forward,62
1865,1865,s17,2,2,20201120,forward,0
1866,1866,s17,2,2,20201125,forward,0
1867,1867,s17,2,2,20201126,forward,6
1868,1868,s17,2,2,20201211,forward,0
1883,1883,s17,3,1,20201125,forward,0
1884,1884,s17,3,1,20201126,forward,66
1885,1885,s17,3,1,20201210,forward,0
1886,1886,s17,3,1,20201211,forward,65
1903,1903,s17,3,2,20201120,forward,48
1904,1904,s17,3,2,20201125,forward,0
1905,1905,s17,3,2,20201126,forward,0
1906,1906,s17,3,2,20201211,forward,0
1921,1921,s18,1,1,20201125,forward,0
1922,1922,s18,1,1,20201126,forward,29
1923,1923,s18,1,1,20201210,forward,0
1924,1924,s18,1,1,20201211,forward,73
1941,1941,s18,1,2,20201120,forward,0
1942,1942,s18,1,2,20201126,forward,5
1943,1943,s18,1,2,20201211,forward,0
1958,1958,s18,2,1,20201125,forward,0
1959,1959,s18,2,1,20201126,forward,17
1960,1960,s18,2,1,20201210,forward,0
1961,1961,s18,2,1,20201211,forward,0
1978,1978,s18,2,2,20201120,forward,0
1979,1979,s18,2,2,20201125,forward,155
1980,1980,s18,2,2,20201126,forward,14
1981,1981,s18,2,2,20201211,forward,30
1996,1996,s18,3,1,20201125,forward,0
1997,1997,s18,3,1,20201126,forward,36
1998,1998,s18,3,1,20201210,forward,17
1999,1999,s18,3,1,20201211,forward,0
2016,2016,s18,3,2,20201120,forward,32
2017,2017,s18,3,2,20201125,forward,225
2018,2018,s18,3,2,20201126,forward,0
2019,2019,s18,3,2,20201211,forward,4
2034,2034,s19,1,1,20201125,forward,147
2035,2035,s19,1,1,20201126,forward,19
2036,2036,s19,1,1,20201210,forward,0
2037,2037,s19,1,1,20201211,forward,68
2054,2054,s19,1,2,20201120,forward,51
2055,2055,s19,1,2,20201126,forward,8
2056,2056,s19,1,2,20201211,forward,26
2071,2071,s19,2,1,20201125,forward,125
2072,2072,s19,2,1,20201126,forward,16
2073,2073,s19,2,1,20201210,forward,0
2074,2074,s19,2,1,20201211,forward,65
2091,2091,s19,2,2,20201120,forward,50
2092,2092,s19,2,2,20201125,forward,102
2093,2093,s19,2,2,20201126,forward,6
2094,2094,s19,2,2,20201211,forward,70
2109,2109,s19,3,1,20201125,forward,198
2110,2110,s19,3,1,20201126,forward,63
2111,2111,s19,3,1,20201210,forward,42
2112,2112,s19,3,1,20201211,forward,106
2129,2129,s19,3,2,20201120,forward,70
2130,2130,s19,3,2,20201125,forward,76
2131,2131,s19,3,2,20201126,forward,2
2132,2132,s19,3,2,20201211,forward,19
