,stimulus,repeat,fish,date,stimulus_direction,tail_beat
241,s03,1,1,20210423,upward,6
242,s03,1,1,20210427,backward,0
243,s03,1,1,20210428,backward,0
244,s03,1,1,20210503,rightward,0
245,s03,1,1,20210504,leftward,9
246,s03,1,2,20201120,forward,62
247,s03,1,2,20201126,forward,23
248,s03,1,2,20201211,forward,0
249,s03,1,2,20210226,backward,0
250,s03,1,2,20210304,backward,0
251,s03,1,2,20210311,rightward,12
252,s03,1,2,20210326,rightward,39
253,s03,1,2,20210330,upward,0
254,s03,1,2,20210331,upward,0
255,s03,1,2,20210413,downward,0
256,s03,1,2,20210414,downward,0
257,s03,1,2,20210422,upward,63
258,s03,1,2,20210423,upward,0
259,s03,1,2,20210427,backward,0
260,s03,1,2,20210428,backward,0
261,s03,1,2,20210503,rightward,19
262,s03,1,2,20210504,leftward,27
263,s03,2,1,20201125,forward,67
264,s03,2,1,20201126,forward,39
265,s03,2,1,20201210,forward,46
266,s03,2,1,20201211,forward,51
267,s03,2,1,20210226,backward,0
268,s03,2,1,20210304,backward,0
269,s03,2,1,20210305,rightward,22
270,s03,2,1,20210311,rightward,37
271,s03,2,1,20210325,rightward,66
272,s03,2,1,20210326,rightward,62
273,s03,2,1,20210330,upward,0
274,s03,2,1,20210331,upward,0
275,s03,2,1,20210413,downward,0
276,s03,2,1,20210414,downward,0
277,s03,2,1,20210422,upward,0
278,s03,2,1,20210423,upward,0
279,s03,2,1,20210427,backward,0
280,s03,2,1,20210428,backward,0
281,s03,2,1,20210503,rightward,18
282,s03,2,1,20210504,leftward,11
283,s03,2,2,20201120,forward,17
284,s03,2,2,20201125,forward,140
285,s03,2,2,20201126,forward,17
286,s03,2,2,20201211,forward,66
287,s03,2,2,20210226,backward,0
288,s03,2,2,20210304,backward,0
289,s03,2,2,20210311,rightward,0
290,s03,2,2,20210326,rightward,102
291,s03,2,2,20210330,upward,25
292,s03,2,2,20210331,upward,0
293,s03,2,2,20210413,downward,0
294,s03,2,2,20210414,downward,0
295,s03,2,2,20210422,upward,15
296,s03,2,2,20210423,upward,0
297,s03,2,2,20210427,backward,0
298,s03,2,2,20210428,backward,0
299,s03,2,2,20210503,rightward,12
300,s03,2,2,20210504,leftward,18
301,s03,3,1,20201125,forward,56
302,s03,3,1,20201126,forward,71
303,s03,3,1,20201210,forward,32
304,s03,3,1,20201211,forward,98
305,s03,3,1,20210226,backward,0
306,s03,3,1,20210304,backward,0
307,s03,3,1,20210305,rightward,5
308,s03,3,1,20210311,rightward,7
309,s03,3,1,20210325,rightward,165
310,s03,3,1,20210326,rightward,75
311,s03,3,1,20210330,upward,0
312,s03,3,1,20210331,upward,0
313,s03,3,1,20210413,downward,0
314,s03,3,1,20210414,downward,0
315,s03,3,1,20210422,upward,0
316,s03,3,1,20210423,upward,0
317,s03,3,1,20210427,backward,0
318,s03,3,1,20210428,backward,0
319,s03,3,1,20210503,rightward,34
320,s03,3,1,20210504,leftward,19
321,s03,3,2,20201120,forward,53
322,s03,3,2,20201125,forward,84
323,s03,3,2,20201126,forward,0
324,s03,3,2,20201211,forward,26
325,s03,3,2,20210226,backward,0
326,s03,3,2,20210304,backward,0
327,s03,3,2,20210311,rightward,0
328,s03,3,2,20210326,rightward,58
329,s03,3,2,20210330,upward,0
330,s03,3,2,20210331,upward,0
331,s03,3,2,20210413,downward,0
332,s03,3,2,20210414,downward,0
333,s03,3,2,20210422,upward,0
334,s03,3,2,20210423,upward,0
335,s03,3,2,20210427,backward,0
336,s03,3,2,20210428,backward,0
337,s03,3,2,20210503,rightward,16
338,s03,3,2,20210504,leftward,69
339,s04,1,1,20201125,forward,0
340,s04,1,1,20201126,forward,0
341,s04,1,1,20201210,forward,17
342,s04,1,1,20201211,forward,65
343,s04,1,1,20210226,backward,0
344,s04,1,1,20210304,backward,0
345,s04,1,1,20210305,rightward,22
346,s04,1,1,20210311,rightward,2
347,s04,1,1,20210325,rightward,0
348,s04,1,1,20210326,rightward,35
349,s04,1,1,20210330,upward,0
350,s04,1,1,20210331,upward,0
351,s04,1,1,20210413,downward,0
352,s04,1,1,20210414,downward,0
353,s04,1,1,20210422,upward,0
354,s04,1,1,20210423,upward,0
355,s04,1,1,20210427,backward,0
356,s04,1,1,20210428,backward,0
357,s04,1,1,20210503,rightward,23
358,s04,1,1,20210504,leftward,33
359,s04,1,2,20201120,forward,0
360,s04,1,2,20201126,forward,0
361,s04,1,2,20201211,forward,0
362,s04,1,2,20210226,backward,0
363,s04,1,2,20210304,backward,0
364,s04,1,2,20210311,rightward,1
365,s04,1,2,20210326,rightward,15
366,s04,1,2,20210330,upward,0
367,s04,1,2,20210331,upward,0
368,s04,1,2,20210413,downward,0
369,s04,1,2,20210414,downward,0
370,s04,1,2,20210422,upward,0
371,s04,1,2,20210423,upward,29
372,s04,1,2,20210427,backward,0
373,s04,1,2,20210428,backward,0
374,s04,1,2,20210503,rightward,13
375,s04,1,2,20210504,leftward,17
376,s04,2,1,20201125,forward,0
377,s04,2,1,20201126,forward,0
378,s04,2,1,20201210,forward,0
379,s04,2,1,20201211,forward,0
380,s04,2,1,20210226,backward,2
381,s04,2,1,20210304,backward,0
382,s04,2,1,20210305,rightward,68
383,s04,2,1,20210311,rightward,17
384,s04,2,1,20210325,rightward,0
385,s04,2,1,20210326,rightward,38
386,s04,2,1,20210330,upward,0
387,s04,2,1,20210331,upward,0
388,s04,2,1,20210413,downward,0
389,s04,2,1,20210414,downward,0
390,s04,2,1,20210422,upward,1
391,s04,2,1,20210423,upward,7
392,s04,2,1,20210427,backward,0
393,s04,2,1,20210428,backward,0
394,s04,2,1,20210503,rightward,15
395,s04,2,1,20210504,leftward,39
396,s04,2,2,20201120,forward,0
397,s04,2,2,20201125,forward,26
398,s04,2,2,20201126,forward,1
399,s04,2,2,20201211,forward,0
400,s04,2,2,20210226,backward,0
401,s04,2,2,20210304,backward,0
402,s04,2,2,20210311,rightward,0
403,s04,2,2,20210326,rightward,11
404,s04,2,2,20210330,upward,0
405,s04,2,2,20210331,upward,0
406,s04,2,2,20210413,downward,0
407,s04,2,2,20210414,downward,0
408,s04,2,2,20210422,upward,0
409,s04,2,2,20210423,upward,69
410,s04,2,2,20210427,backward,16
411,s04,2,2,20210428,backward,0
412,s04,2,2,20210503,rightward,18
413,s04,2,2,20210504,leftward,12
414,s04,3,1,20201125,forward,0
415,s04,3,1,20201126,forward,21
416,s04,3,1,20201210,forward,0
417,s04,3,1,20201211,forward,0
418,s04,3,1,20210226,backward,7
419,s04,3,1,20210304,backward,0
420,s04,3,1,20210305,rightward,47
421,s04,3,1,20210311,rightward,0
422,s04,3,1,20210325,rightward,33
423,s04,3,1,20210326,rightward,38
424,s04,3,1,20210330,upward,0
425,s04,3,1,20210331,upward,0
426,s04,3,1,20210413,downward,0
427,s04,3,1,20210414,downward,0
428,s04,3,1,20210422,upward,0
429,s04,3,1,20210423,upward,0
430,s04,3,1,20210427,backward,0
431,s04,3,1,20210428,backward,0
432,s04,3,1,20210503,rightward,64
433,s04,3,1,20210504,leftward,14
434,s04,3,2,20201120,forward,0
435,s04,3,2,20201125,forward,17
436,s04,3,2,20201126,forward,0
437,s04,3,2,20201211,forward,0
438,s04,3,2,20210226,backward,0
439,s04,3,2,20210304,backward,0
440,s04,3,2,20210311,rightward,0
441,s04,3,2,20210326,rightward,0
442,s04,3,2,20210330,upward,5
443,s04,3,2,20210331,upward,0
444,s04,3,2,20210413,downward,0
445,s04,3,2,20210414,downward,5
446,s04,3,2,20210422,upward,0
447,s04,3,2,20210423,upward,0
448,s04,3,2,20210427,backward,0
449,s04,3,2,20210428,backward,0
450,s04,3,2,20210503,rightward,5
451,s04,3,2,20210504,leftward,19
452,s05,1,1,20201125,forward,0
453,s05,1,1,20201126,forward,8
454,s05,1,1,20201210,forward,48
455,s05,1,1,20201211,forward,92
456,s05,1,1,20210226,backward,0
457,s05,1,1,20210304,backward,0
458,s05,1,1,20210305,rightward,0
459,s05,1,1,20210311,rightward,0
460,s05,1,1,20210325,rightward,12
461,s05,1,1,20210326,rightward,32
462,s05,1,1,20210330,upward,0
463,s05,1,1,20210331,upward,0
464,s05,1,1,20210413,downward,0
465,s05,1,1,20210414,downward,0
466,s05,1,1,20210422,upward,0
467,s05,1,1,20210423,upward,0
468,s05,1,1,20210427,backward,0
469,s05,1,1,20210428,backward,0
470,s05,1,1,20210503,rightward,0
471,s05,1,1,20210504,leftward,0
472,s05,1,2,20201120,forward,16
473,s05,1,2,20201126,forward,40
474,s05,1,2,20201211,forward,4
475,s05,1,2,20210226,backward,6
476,s05,1,2,20210304,backward,0
477,s05,1,2,20210311,rightward,0
478,s05,1,2,20210326,rightward,47
479,s05,1,2,20210330,upward,0
480,s05,1,2,20210331,upward,0
481,s05,1,2,20210413,downward,0
482,s05,1,2,20210414,downward,0
483,s05,1,2,20210422,upward,0
484,s05,1,2,20210423,upward,0
485,s05,1,2,20210427,backward,0
486,s05,1,2,20210428,backward,0
487,s05,1,2,20210503,rightward,31
488,s05,1,2,20210504,leftward,8
489,s05,2,1,20201125,forward,0
490,s05,2,1,20201126,forward,19
491,s05,2,1,20201210,forward,17
492,s05,2,1,20201211,forward,56
493,s05,2,1,20210226,backward,7
494,s05,2,1,20210304,backward,0
495,s05,2,1,20210305,rightward,4
496,s05,2,1,20210311,rightward,17
497,s05,2,1,20210325,rightward,21
498,s05,2,1,20210326,rightward,32
499,s05,2,1,20210330,upward,0
500,s05,2,1,20210331,upward,0
501,s05,2,1,20210413,downward,0
502,s05,2,1,20210414,downward,0
503,s05,2,1,20210422,upward,0
504,s05,2,1,20210423,upward,0
505,s05,2,1,20210427,backward,0
506,s05,2,1,20210428,backward,0
507,s05,2,1,20210503,rightward,0
508,s05,2,1,20210504,leftward,4
509,s05,2,2,20201120,forward,0
510,s05,2,2,20201125,forward,96
511,s05,2,2,20201126,forward,8
512,s05,2,2,20201211,forward,4
513,s05,2,2,20210226,backward,0
514,s05,2,2,20210304,backward,6
515,s05,2,2,20210311,rightward,0
516,s05,2,2,20210326,rightward,31
517,s05,2,2,20210330,upward,0
518,s05,2,2,20210331,upward,0
519,s05,2,2,20210413,downward,0
520,s05,2,2,20210414,downward,0
521,s05,2,2,20210422,upward,0
522,s05,2,2,20210423,upward,0
523,s05,2,2,20210427,backward,0
524,s05,2,2,20210428,backward,0
525,s05,2,2,20210503,rightward,6
526,s05,2,2,20210504,leftward,1
527,s05,3,1,20201125,forward,53
528,s05,3,1,20201126,forward,35
529,s05,3,1,20201210,forward,23
530,s05,3,1,20201211,forward,22
531,s05,3,1,20210226,backward,0
532,s05,3,1,20210304,backward,0
533,s05,3,1,20210305,rightward,4
534,s05,3,1,20210311,rightward,0
535,s05,3,1,20210325,rightward,36
536,s05,3,1,20210326,rightward,15
537,s05,3,1,20210330,upward,0
538,s05,3,1,20210331,upward,0
539,s05,3,1,20210413,downward,0
540,s05,3,1,20210414,downward,0
541,s05,3,1,20210422,upward,0
542,s05,3,1,20210423,upward,0
543,s05,3,1,20210427,backward,0
544,s05,3,1,20210428,backward,0
545,s05,3,1,20210503,rightward,0
546,s05,3,1,20210504,leftward,23
547,s05,3,2,20201120,forward,33
548,s05,3,2,20201125,forward,92
549,s05,3,2,20201126,forward,0
550,s05,3,2,20201211,forward,0
551,s05,3,2,20210226,backward,0
552,s05,3,2,20210304,backward,0
553,s05,3,2,20210311,rightward,0
554,s05,3,2,20210326,rightward,11
555,s05,3,2,20210330,upward,0
556,s05,3,2,20210331,upward,0
557,s05,3,2,20210413,downward,0
558,s05,3,2,20210414,downward,0
559,s05,3,2,20210422,upward,0
560,s05,3,2,20210423,upward,0
561,s05,3,2,20210427,backward,0
562,s05,3,2,20210428,backward,0
563,s05,3,2,20210503,rightward,18
564,s05,3,2,20210504,leftward,1
565,s06,1,1,20201125,forward,139
566,s06,1,1,20201126,forward,45
567,s06,1,1,20201210,forward,63
568,s06,1,1,20201211,forward,48
569,s06,1,1,20210226,backward,0
570,s06,1,1,20210304,backward,0
571,s06,1,1,20210305,rightward,19
572,s06,1,1,20210311,rightward,0
573,s06,1,1,20210325,rightward,0
574,s06,1,1,20210326,rightward,0
575,s06,1,1,20210330,upward,0
576,s06,1,1,20210331,upward,0
577,s06,1,1,20210413,downward,0
578,s06,1,1,20210414,downward,0
579,s06,1,1,20210422,upward,0
580,s06,1,1,20210423,upward,0
581,s06,1,1,20210427,backward,0
582,s06,1,1,20210428,backward,0
583,s06,1,1,20210503,rightward,0
584,s06,1,1,20210504,leftward,1
585,s06,1,2,20201120,forward,62
586,s06,1,2,20201126,forward,59
587,s06,1,2,20201211,forward,44
588,s06,1,2,20210226,backward,0
589,s06,1,2,20210304,backward,0
590,s06,1,2,20210311,rightward,0
591,s06,1,2,20210326,rightward,0
592,s06,1,2,20210330,upward,0
593,s06,1,2,20210331,upward,0
594,s06,1,2,20210413,downward,0
595,s06,1,2,20210414,downward,0
596,s06,1,2,20210422,upward,0
597,s06,1,2,20210423,upward,0
598,s06,1,2,20210427,backward,0
599,s06,1,2,20210428,backward,0
600,s06,1,2,20210503,rightward,23
601,s06,1,2,20210504,leftward,0
602,s06,2,1,20201125,forward,111
603,s06,2,1,20201126,forward,41
604,s06,2,1,20201210,forward,51
605,s06,2,1,20201211,forward,71
606,s06,2,1,20210226,backward,0
607,s06,2,1,20210304,backward,0
608,s06,2,1,20210305,rightward,2
609,s06,2,1,20210311,rightward,0
610,s06,2,1,20210325,rightward,6
611,s06,2,1,20210326,rightward,0
612,s06,2,1,20210330,upward,0
613,s06,2,1,20210331,upward,0
614,s06,2,1,20210413,downward,0
615,s06,2,1,20210414,downward,0
616,s06,2,1,20210422,upward,0
617,s06,2,1,20210423,upward,0
618,s06,2,1,20210427,backward,0
619,s06,2,1,20210428,backward,0
620,s06,2,1,20210503,rightward,0
621,s06,2,1,20210504,leftward,8
622,s06,2,2,20201120,forward,68
623,s06,2,2,20201125,forward,112
624,s06,2,2,20201126,forward,14
625,s06,2,2,20201211,forward,67
626,s06,2,2,20210226,backward,0
627,s06,2,2,20210304,backward,21
628,s06,2,2,20210311,rightward,37
629,s06,2,2,20210326,rightward,0
630,s06,2,2,20210330,upward,0
631,s06,2,2,20210331,upward,0
632,s06,2,2,20210413,downward,0
633,s06,2,2,20210414,downward,0
634,s06,2,2,20210422,upward,18
635,s06,2,2,20210423,upward,0
636,s06,2,2,20210427,backward,0
637,s06,2,2,20210428,backward,0
638,s06,2,2,20210503,rightward,0
639,s06,2,2,20210504,leftward,0
640,s06,3,1,20201125,forward,92
641,s06,3,1,20201126,forward,52
642,s06,3,1,20201210,forward,30
643,s06,3,1,20201211,forward,59
644,s06,3,1,20210226,backward,0
645,s06,3,1,20210304,backward,0
646,s06,3,1,20210305,rightward,13
647,s06,3,1,20210311,rightward,0
648,s06,3,1,20210325,rightward,14
649,s06,3,1,20210326,rightward,0
650,s06,3,1,20210330,upward,0
651,s06,3,1,20210331,upward,0
652,s06,3,1,20210413,downward,0
653,s06,3,1,20210414,downward,0
654,s06,3,1,20210422,upward,0
655,s06,3,1,20210423,upward,0
656,s06,3,1,20210427,backward,0
657,s06,3,1,20210428,backward,0
658,s06,3,1,20210503,rightward,20
659,s06,3,1,20210504,leftward,8
660,s06,3,2,20201120,forward,62
661,s06,3,2,20201125,forward,70
662,s06,3,2,20201126,forward,15
663,s06,3,2,20201211,forward,20
664,s06,3,2,20210226,backward,0
665,s06,3,2,20210304,backward,0
666,s06,3,2,20210311,rightward,0
667,s06,3,2,20210326,rightward,0
668,s06,3,2,20210330,upward,0
669,s06,3,2,20210331,upward,0
670,s06,3,2,20210413,downward,0
671,s06,3,2,20210414,downward,0
672,s06,3,2,20210422,upward,0
673,s06,3,2,20210423,upward,2
674,s06,3,2,20210427,backward,0
675,s06,3,2,20210428,backward,0
676,s06,3,2,20210503,rightward,19
677,s06,3,2,20210504,leftward,62
678,s07,1,1,20201125,forward,0
679,s07,1,1,20201126,forward,0
680,s07,1,1,20201210,forward,0
681,s07,1,1,20201211,forward,0
682,s07,1,1,20210226,backward,0
683,s07,1,1,20210304,backward,0
684,s07,1,1,20210305,rightward,0
685,s07,1,1,20210311,rightward,17
686,s07,1,1,20210325,rightward,39
687,s07,1,1,20210326,rightward,2
688,s07,1,1,20210330,upward,0
689,s07,1,1,20210331,upward,0
690,s07,1,1,20210413,downward,0
691,s07,1,1,20210414,downward,0
692,s07,1,1,20210422,upward,0
693,s07,1,1,20210423,upward,0
694,s07,1,1,20210427,backward,0
695,s07,1,1,20210428,backward,0
696,s07,1,1,20210503,rightward,0
697,s07,1,1,20210504,leftward,0
698,s07,1,2,20201120,forward,0
699,s07,1,2,20201126,forward,3
700,s07,1,2,20201211,forward,0
701,s07,1,2,20210226,backward,0
702,s07,1,2,20210304,backward,0
703,s07,1,2,20210311,rightward,15
704,s07,1,2,20210326,rightward,20
705,s07,1,2,20210330,upward,0
706,s07,1,2,20210331,upward,0
707,s07,1,2,20210413,downward,0
708,s07,1,2,20210414,downward,0
709,s07,1,2,20210422,upward,0
710,s07,1,2,20210423,upward,34
711,s07,1,2,20210427,backward,0
712,s07,1,2,20210428,backward,0
713,s07,1,2,20210503,rightward,0
714,s07,1,2,20210504,leftward,6
715,s07,2,1,20201125,forward,0
716,s07,2,1,20201126,forward,0
717,s07,2,1,20201210,forward,0
718,s07,2,1,20201211,forward,0
719,s07,2,1,20210226,backward,0
720,s07,2,1,20210304,backward,0
721,s07,2,1,20210305,rightward,14
722,s07,2,1,20210311,rightward,1
723,s07,2,1,20210325,rightward,11
724,s07,2,1,20210326,rightward,15
725,s07,2,1,20210330,upward,0
726,s07,2,1,20210331,upward,19
727,s07,2,1,20210413,downward,0
728,s07,2,1,20210414,downward,0
729,s07,2,1,20210422,upward,0
730,s07,2,1,20210423,upward,4
731,s07,2,1,20210427,backward,0
732,s07,2,1,20210428,backward,0
733,s07,2,1,20210503,rightward,0
734,s07,2,1,20210504,leftward,0
735,s07,2,2,20201120,forward,0
736,s07,2,2,20201125,forward,0
737,s07,2,2,20201126,forward,2
738,s07,2,2,20201211,forward,0
739,s07,2,2,20210226,backward,0
740,s07,2,2,20210304,backward,0
741,s07,2,2,20210311,rightward,14
742,s07,2,2,20210326,rightward,20
743,s07,2,2,20210330,upward,0
744,s07,2,2,20210331,upward,0
745,s07,2,2,20210413,downward,0
746,s07,2,2,20210414,downward,0
747,s07,2,2,20210422,upward,0
748,s07,2,2,20210423,upward,50
749,s07,2,2,20210427,backward,0
750,s07,2,2,20210428,backward,0
751,s07,2,2,20210503,rightward,0
752,s07,2,2,20210504,leftward,5
753,s07,3,1,20201125,forward,0
754,s07,3,1,20201126,forward,0
755,s07,3,1,20201210,forward,0
756,s07,3,1,20201211,forward,0
757,s07,3,1,20210226,backward,0
758,s07,3,1,20210304,backward,0
759,s07,3,1,20210305,rightward,0
760,s07,3,1,20210311,rightward,0
